Movie Title,Years,Score,Cast
Running Scared,60%,60%,"Gregory Hines, Billy Crystal, Jimmy Smits, Steven Bauer"
Equilibrium,40%,40%,"Christian Bale, Emily Watson, Taye Diggs, Angus Macfadyen"
Hero,95%,95%,"Jet Li, Tony Leung Chiu Wai, Maggie Cheung, Daoming Chen"
Road House,39%,39%,"Patrick Swayze, Kelly Lynch, Sam Elliott, Ben Gazzara"
Unstoppable,86%,86%,"Denzel Washington, Chris Pine, Rosario Dawson, Ethan Suplee"
Shaft,88%,88%,"Richard Roundtree, Moses Gunn, Gwen Mitchell, Christopher St. John"
The Villainess (Ak-Nyeo),84%,84%,"Ok-bin Kim, Kim Seo-hyung, Shin Ha-kyun, Bang Sung-jun"
Highlander,69%,69%,"Christopher Lambert, Sean Connery, Roxanne Hart, Clancy Brown"
Die Hard 2,68%,68%,"Bruce Willis, Bonnie Bedelia, William Atherton, Reginald VelJohnson"
National Treasure,46%,46%,"Nicolas Cage, Diane Kruger, Justin Bartha, Sean Bean"
The Protector (Tom yum goong) (Warrior King),53%,53%,"Tony Jaa, Petchtai Wongkamlao, Bongkoj Khongmalai, Bongkoo Kongmalai"
Revenge,92%,92%,"Matilda Anna Ingrid Lutz, Kevin Janssens, Vincent Colombe, Guillaume Bouchède"
El Mariachi,93%,93%,"Carlos Gallardo, Consuelo Gómez, Reinol Martinez, Peter Marquardt"
A Touch of Zen,96%,96%,"Feng Hsu, Chun Shih, Pai Ying, Tien Peng"
Top Gun,54%,54%,"Tom Cruise, Kelly McGillis, Anthony Edwards, Val Kilmer"
Con Air,55%,55%,"Nicolas Cage, John Cusack, John Malkovich, Steve Buscemi"
The Expendables 2,68%,68%,"Sylvester Stallone, Jason Statham, Jet Li, Dolph Lundgren"
The Mummy,60%,60%,"Brendan Fraser, Rachel Weisz, John Hannah, Arnold Vosloo"
Mr. & Mrs. Smith,60%,60%,"Brad Pitt, Angelina Jolie, Vince Vaughn, Adam Brody"
Rush Hour,60%,60%,"Jackie Chan, Chris Tucker, Elizabeth Peña, Tom Wilkinson"
The Equalizer,59%,59%,"Denzel Washington, Marton Csokas, Chloë Grace Moretz , David Harbour"
Captain America: Civil War,91%,91%,"Chris Evans, Robert Downey Jr., Scarlett Johansson, Sebastian Stan"
Air Force One,76%,76%,"Gary Oldman, Harrison Ford, Glenn Close, Wendy Crewson"
Bloodsport,38%,38%,"Jean-Claude Van Damme, Leah Ayres, Donald Gibb, Norman Burton"
Blade,55%,55%,"Wesley Snipes, Stephen Dorff, Kris Kristofferson, N'Bushe Wright"
Bad Boys,43%,43%,"Martin Lawrence, Will Smith, Téa Leoni, Tcheky Karyo"
Die Hard: With a Vengeance,52%,52%,"Bruce Willis, Jeremy Irons, Samuel L. Jackson, Graham Greene (II)"
The Running Man,63%,63%,"Arnold Schwarzenegger, Maria Conchita Alonso, Yaphet Kotto, Richard Dawson"
Code of Silence,63%,63%,"Chuck Norris, Henry Silva, Bert Remsen, Mike Genovese"
Shoot 'Em Up,67%,67%,"Clive Owen, Paul Giamatti, Monica Bellucci, Stephen McHattie"
Crank,61%,61%,"Jason Statham, Amy Smart, Efren Ramirez, Jose Pablo Cantillo"
Machete,72%,72%,"Danny Trejo, Robert De Niro, Jessica Alba, Cheech Marin"
Drive,92%,92%,"Ryan Gosling, Carey Mulligan, Albert Brooks, Bryan Cranston"
Batman,72%,72%,"Michael Keaton, Jack Nicholson, Kim Basinger, Robert Wuhl"
